Price,Close,High,Low,Open,Volume
Ticker,HPG,HPG,HPG,HPG,HPG
Date,,,,,
2023-06-29,19545.4,20227.3,19545.4,20189.4,48580000
2023-06-30,19810.6,19848.5,19431.8,19469.7,30450000
2023-07-03,19848.5,20037.9,19621.2,19848.5,22520000
2023-07-04,19886.4,19886.4,19621.2,19810.6,26040000
2023-07-05,20416.7,20606.1,19886.4,20000,41980000
2023-07-06,20454.5,20568.2,20075.8,20378.8,36450000
2023-07-07,20795.4,20795.4,20075.8,20378.8,29850000
2023-07-10,20984.8,21174.2,20719.7,20795.4,32030000
2023-07-11,20681.8,21250,20643.9,21060.6,31700000
2023-07-12,20454.5,20795.4,20189.4,20681.8,36640000
2023-07-13,20492.4,20833.3,20378.8,20833.3,18490000
2023-07-14,20833.3,20833.3,20492.4,20568.2,22540000
2023-07-17,20681.8,21022.7,20606.1,20984.8,16550000
2023-07-18,20606.1,20719.7,20492.4,20681.8,16370000
2023-07-19,20757.6,20984.8,20492.4,20530.3,20300000
2023-07-20,21363.6,21363.6,20681.8,20681.8,40740000
2023-07-21,21515.1,21515.1,21287.9,21477.3,24360000
2023-07-24,21401.5,21666.7,21212.1,21553,22660000
2023-07-25,21401.5,21477.3,21212.1,21401.5,26700000
2023-07-26,21515.1,21553,21325.8,21401.5,30190000
2023-07-27,21515.1,21742.4,21287.9,21515.1,28140000
2023-07-28,21439.4,21666.7,21325.8,21515.1,29970000
2023-07-31,21363.6,21401.5,20719.7,21363.6,60100000
2023-08-01,20833.3,21287.9,20833.3,21287.9,36980000
2023-08-02,20833.3,21098.5,20643.9,20757.6,24450000
2023-08-03,20340.9,20833.3,20075.8,20719.7,76600000
2023-08-04,20719.7,20833.3,20303,20303,29270000
2023-08-07,20871.2,21022.7,20681.8,20871.2,30480000
2023-08-08,20606.1,21136.4,20568.2,20909.1,33750000
2023-08-09,21060.6,21098.5,20492.4,20606.1,56310000
2023-08-10,20719.7,21136.4,20681.8,21136.4,22530000
2023-08-11,20984.8,21022.7,20568.2,20757.6,30860000
2023-08-14,21325.8,21477.3,20947,21060.6,59330000
2023-08-15,21174.2,21401.5,21098.5,21325.8,23680000
2023-08-16,21174.2,21212.1,20947,21174.2,19790000
2023-08-17,21287.9,21742.4,21212.1,21212.1,61520000
2023-08-18,20075.8,21212.1,19848.5,21136.4,61190000
2023-08-21,19848.5,20113.6,19621.2,20037.9,41500000
2023-08-22,19810.6,19962.1,19015.1,19848.5,46430000
2023-08-23,19431.8,20037.9,19431.8,19962.1,28740000
2023-08-24,19924.2,19924.2,19393.9,19431.8,21910000
2023-08-25,19659.1,20000,19659.1,19848.5,28840000
2023-08-28,20340.9,20340.9,19697,19697,30120000
2023-08-29,20454.5,20568.2,20227.3,20378.8,23720000
2023-08-30,20606.1,20643.9,20265.1,20454.5,26590000
2023-08-31,20909.1,21136.4,20681.8,20757.6,34230000
2023-09-05,21060.6,21174.2,20643.9,21060.6,32340000
2023-09-06,21969.7,21969.7,20757.6,21022.7,69400000
2023-09-07,21704.5,22197,21590.9,21969.7,44450000
2023-09-08,21780.3,22083.3,21515.1,21590.9,44610000
2023-09-11,21212.1,22007.6,21022.7,21969.7,62960000
2023-09-12,21780.3,21780.3,20984.8,21212.1,29850000
2023-09-13,21515.1,22272.7,21401.5,21818.2,64940000
2023-09-14,21060.6,21628.8,21022.7,21515.1,45780000
2023-09-15,20909.1,21287.9,20909.1,21136.4,32670000
2023-09-18,20909.1,21287.9,20606.1,20909.1,27580000
2023-09-19,21325.8,21325.8,20833.3,21212.1,27760000
2023-09-20,21515.1,21628.8,21250,21325.8,35110000
2023-09-21,21515.1,22045.4,21325.8,21515.1,56660000
2023-09-22,20681.8,21174.2,20265.1,21022.7,66769999
2023-09-25,19697,20833.3,19469.7,20454.5,48670000
2023-09-26,19848.5,20303,19583.3,19583.3,40710000
2023-09-27,20075.8,20227.3,19810.6,19810.6,26830000
2023-09-28,20151.5,20340.9,19848.5,20151.5,21860000
2023-09-29,19924.2,20340.9,19886.4,20303,19830000
2023-10-02,19848.5,20037.9,19697,19924.2,15060000
2023-10-03,18787.9,19772.7,18712.1,19772.7,53640000
2023-10-04,19128.8,19318.2,18181.8,18560.6,27850000
2023-10-05,18863.6,19318.2,18825.8,19242.4,13760000
2023-10-06,18901.5,19166.7,18674.2,18825.8,20130000
2023-10-09,19318.2,19393.9,18901.5,18901.5,15090000
2023-10-10,19697,19886.4,19393.9,19469.7,26410000
2023-10-11,19848.5,19886.4,19545.4,19810.6,17820000
2023-10-12,19545.4,19924.2,19393.9,19924.2,29110000
2023-10-13,19507.6,19507.6,18977.3,19393.9,25840000
2023-10-16,18939.4,19545.4,18939.4,19507.6,21390000
2023-10-17,18787.9,19280.3,18787.9,19090.9,19410000
2023-10-18,18181.8,18901.5,17575.8,18787.9,40830000
2023-10-19,17954.5,18333.3,17765.1,18257.6,27470000
2023-10-20,18447,18447,17689.4,17954.5,21610000
2023-10-23,18181.8,18447,17954.5,18447,15770000
2023-10-24,18181.8,18484.8,17916.7,18219.7,12820000
2023-10-25,18219.7,18636.4,18219.7,18219.7,15920000
2023-10-26,17272.7,18068.2,17121.2,18030.3,40960000
2023-10-27,17689.4,17803,17310.6,17613.6,19820000
2023-10-30,17424.2,17992.4,17424.2,17689.4,21350000
2023-10-31,17424.2,17803,17348.5,17803,27450000
2023-11-01,18143.9,18143.9,17386.4,17424.2,25270000
2023-11-02,19128.8,19393.9,18257.6,18333.3,35170000
2023-11-03,19015.1,19318.2,18750,19242.4,27060000
